Year,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Height_dnp,Weight_dnp,40yd_dnp,Vertical_dnp,Bench_dnp,Broad Jump_dnp,3Cone_dnp,Shuttle_dnp,Pos_C,Pos_CB,Pos_DB,Pos_DE,Pos_DL,Pos_DT,Pos_EDGE,Pos_FB,Pos_ILB,Pos_K,Pos_LB,Pos_LS,Pos_OG,Pos_OL,Pos_OLB,Pos_OT,Pos_P,Pos_QB,Pos_RB,Pos_S,Pos_TE,Pos_WR,Height_in_inches
2010,259.0,4.71,35.5,19.0,113.0,6.99,4.57,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,76
2010,216.0,4.79,-1.0,-1.0,114.0,-1.0,-1.0,True,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73
2010,295.0,5.04,30.5,23.0,114.0,7.32,4.48,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
2010,198.0,4.4,36.5,18.0,120.0,-1.0,-1.0,True,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71
2010,195.0,4.48,-1.0,-1.0,-1.0,-1.0,-1.0,True,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
2010,224.0,4.62,35.0,13.0,115.0,-1.0,4.23,True,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74
2010,240.0,4.79,-1.0,16.0,-1.0,-1.0,-1.0,True,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,76
2010,251.0,4.75,38.0,-1.0,127.0,7.07,4.27,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75
2010,215.0,4.46,36.0,16.0,122.0,6.96,4.55,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75
2010,296.0,4.75,28.5,25.0,107.0,7.68,4.55,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
2010,246.0,4.64,36.5,24.0,122.0,7.22,4.37,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,72
2010,245.0,4.69,34.0,18.0,113.0,7.1,4.42,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75
2010,188.0,4.5,36.5,2.0,122.0,6.74,4.07,True,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
2010,266.0,4.77,34.0,-1.0,112.0,7.12,4.43,True,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
2010,246.0,4.68,31.0,19.0,110.0,7.25,4.39,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,74
